"","lon","lat","address"
"204",6.3326732,46.4529891,"chemin bellevue 2, 1180 rolle, switzerland"
"205",6.3397549,46.4612971,"rolle, switzerland"
"206",NA,NA,NA
"207",6.3413993,46.4585646,"1180 rolle, switzerland"
"208",NA,NA,NA
"209",NA,NA,NA
"210",NA,NA,NA
"211",NA,NA,NA
"212",6.3391188,46.4624046,"chemin de jolimont 4, 1180 rolle, switzerland"
"213",6.3376133,46.464907,"chemin de jolimont 5, 1180 rolle, switzerland"
"214",NA,NA,NA
"215",6.3379496,46.4650182,"chemin de jolimont 7, 1180 rolle, switzerland"
"216",6.3401469,46.463879,"chemin de jolimont 8, 1180 rolle, switzerland"
"217",NA,NA,NA
"218",NA,NA,NA
"219",NA,NA,NA
"220",6.3413993,46.4585646,"1180 rolle, switzerland"
"221",6.3305636,46.4632999,"chemin de la bigaire 24, 1180 rolle, switzerland"
"222",NA,NA,NA
"223",NA,NA,NA
"224",6.3226765,46.4552974,"chemin de la combe 3, 1180 rolle, switzerland"
"225",6.3381374,46.4609086,"avenue de la gare, 1180 rolle, switzerland"
"226",6.3226765,46.4552974,"chemin de la combe 9, 1180 rolle, switzerland"
"227",6.324265,46.4552,"chemin de la combe, 1180 rolle, switzerland"
"228",NA,NA,NA
"229",NA,NA,NA
"230",NA,NA,NA
"231",NA,NA,NA
"232",NA,NA,NA
"233",6.3486635,46.4619549,"chemin de la plage, 1180 tartegnin, switzerland"
"234",NA,NA,NA
"235",6.3465226,46.4614846,"chemin de la plage 4, 1180 rolle, switzerland"
"236",6.3486635,46.4619549,"chemin de la plage, 1180 tartegnin, switzerland"
"237",6.3486635,46.4619549,"chemin de la plage, 1180 tartegnin, switzerland"
"238",6.3486635,46.4619549,"chemin de la plage, 1180 tartegnin, switzerland"
"239",6.3347535,46.4583028,"chemin de la prairie 11a, 1180 rolle, switzerland"
"240",NA,NA,NA
"241",6.3349916,46.4581162,"chemin de la prairie 13a, 1180 rolle, switzerland"
"242",6.3350833,46.4580901,"chemin de la prairie 13b, 1180 rolle, switzerland"
"243",6.3350807,46.458216,"chemin de la prairie 15a, 1180 rolle, switzerland"
"244",6.335133,46.4582075,"chemin de la prairie 15b, 1180 rolle, switzerland"
"245",NA,NA,NA
"246",6.3336109,46.4581567,"chemin de la prairie 4, 1180 rolle, switzerland"
"247",6.3345655,46.4580002,"chemin de la prairie 5, 1180 rolle, switzerland"
"248",6.3333999,46.4582441,"chemin de la prairie 6, 1180 rolle, switzerland"
"249",6.3291453,46.4594462,"1180 tartegnin, switzerland"
"250",6.3345576,46.4583368,"chemin de la prairie 9b, 1180 rolle, switzerland"
"251",6.3291453,46.4594462,"1180 tartegnin, switzerland"
"252",6.3420824,46.4621704,"chemin de plein-air 1, 1180 rolle, switzerland"
"253",6.3411425,46.4629797,"chemin de plein-air 10, 1180 rolle, switzerland"
"254",6.3410076,46.4631765,"chemin de plein-air 12, 1180 rolle, switzerland"
"255",NA,NA,NA
"256",6.3417981,46.4627432,"chemin de plein-air 2, 1180 rolle, switzerland"
"257",6.3415434,46.4631006,"chemin de plein-air 4, 1180 rolle, switzerland"
"258",NA,NA,NA
"259",NA,NA,NA
"260",6.3262915,46.4627543,"chemin des abattoirs 4, 1180 rolle, switzerland"
"261",6.3317571,46.4654168,"chemin des bugnons 9, 1180 rolle, switzerland"
"262",6.3286333,46.4615627,"chemin des cruz 1, 1180 rolle, switzerland"
"263",6.3291453,46.4594462,"1180 tartegnin, switzerland"
"264",6.3359223,46.4590788,"chemin des oiseaux 1, 1180 rolle, switzerland"
"265",6.3364061,46.4589756,"chemin des oiseaux 2, 1180 rolle, switzerland"
"266",NA,NA,NA
"267",6.3365462,46.4591299,"chemin des oiseaux 4, 1180 rolle, switzerland"
"268",6.33624,46.4594598,"chemin des oiseaux 5, 1180 rolle, switzerland"
"269",NA,NA,NA
"270",6.3367101,46.4593924,"chemin des oiseaux 8, 1180 rolle, switzerland"
"271",6.3402595,46.4590137,"grand-rue 1, 1180 rolle, switzerland"
"272",NA,NA,NA
"273",NA,NA,NA
"274",6.3395055,46.4628078,"chemin des pépiniéres 3, 1180 rolle, switzerland"
"275",NA,NA,NA
"276",NA,NA,NA
"277",6.3411871,46.4613791,"chemin des plantaz 1, 1180 rolle, switzerland"
"278",6.3410208,46.46252,"chemin des plantaz 10/imm. d, 1180 rolle, switzerland"
"279",NA,NA,NA
"280",6.3406597,46.4631024,"chemin des plantaz 12, 1180 rolle, switzerland"
"281",NA,NA,NA
"282",NA,NA,NA
"283",6.3399332,46.4622128,"chemin des plantaz 17, 1180 rolle, switzerland"
"284",6.339717,46.4626479,"chemin des plantaz 18, 1180 rolle, switzerland"
"285",6.3413466,46.4612187,"chemin des plantaz 2, 1180 rolle, switzerland"
"286",NA,NA,NA
"287",NA,NA,NA
"288",6.3412605,46.4616137,"chemin des plantaz 3, 1180 rolle, switzerland"
"289",NA,NA,NA
"290",6.3408815,46.461682,"chemin des plantaz 7/imm. c, 1180 rolle, switzerland"
"291",6.3413036,46.4620549,"chemin des plantaz 8/imm. e, 1180 rolle, switzerland"
"292",6.3406814,46.461923,"chemin des plantaz 9/imm. b, 1180 rolle, switzerland"
"293",NA,NA,NA
"294",NA,NA,NA
"295",6.3342527,46.4630284,"chemin du closel 1, 1180 rolle, switzerland"
"296",NA,NA,NA
"297",6.3324002,46.4626161,"chemin du closel 13, 1180 rolle, switzerland"
"298",6.3340863,46.4629295,"chemin du closel 3, 1180 rolle, switzerland"
"299",6.3339061,46.4628287,"chemin du closel 5, 1180 rolle, switzerland"
"300",6.3336993,46.4627548,"chemin du closel 7, 1180 rolle, switzerland"
"301",6.3332323,46.4625664,"chemin du closel 9, 1180 rolle, switzerland"
"302",6.3310884,46.4554691,"chemin du couchant 11, 1180 rolle, switzerland"
"303",6.3314436,46.4556614,"chemin du couchant 13, 1180 rolle, switzerland"
"304",NA,NA,NA
"305",6.3312439,46.4561364,"chemin du couchant 17, 1180 rolle, switzerland"
"306",6.3316509,46.4559694,"chemin du couchant 19, 1180 rolle, switzerland"
"307",6.3296034,46.4555175,"chemin du couchant 2, 1180 rolle, switzerland"
"308",NA,NA,NA
"309",6.3315632,46.4564364,"chemin du couchant 23, 1180 rolle, switzerland"
"310",6.3318054,46.4566906,"chemin du couchant 25, 1180 rolle, switzerland"
"311",6.3321725,46.4565593,"chemin du couchant 27, 1180 rolle, switzerland"
"312",6.3325477,46.4567502,"chemin du couchant 29, 1180 rolle, switzerland"
"313",6.3298662,46.4554147,"chemin du couchant 4, 1180 rolle, switzerland"
"314",6.3304571,46.4557672,"chemin du couchant 5, 1180 rolle, switzerland"
"315",NA,NA,NA
"316",6.3302341,46.4556109,"chemin du couchant 7, 1180 rolle, switzerland"
"317",6.3316966,46.4553811,"chemin du couchant 8, 1180 rolle, switzerland"
"318",6.3306202,46.4554465,"chemin du couchant 9, 1180 rolle, switzerland"
"319",6.3346008,46.4635467,"chemin du famolens 1, 1180 rolle, switzerland"
"320",NA,NA,NA
"321",6.3345107,46.4634901,"chemin du famolens 3, 1180 rolle, switzerland"
"322",6.3331818,46.4629081,"chemin du famolens 5, 1180 rolle, switzerland"
"323",NA,NA,NA
"324",6.3342404,46.4633204,"chemin du famolens 9, 1180 rolle, switzerland"
"325",NA,NA,NA
