"","EGID","GAREA","GASTW","GBAUJ","ebf","GKLAS_text","GHEIZ_text","GENHZ_text","GENWW_text","GKAT_text","GWWV","sia","siaNr","nutzung","typ","denkmalschutz","zonenAffecation","uVal_ground","uVal_roof","uVal_wall","uVal_window","uVal_ground_saniert","uVal_roof_saniert","uVal_wall_saniert","uVal_window_saniert","gVal","gVal_saniert","fensterFl","fensterFl_breite","fensterFl_laenge","fensterFl_proz","longitude","latitude","longitude_mt","latitude_mt","breite","laenge","ausricht","enerBed_awel","enerBed_ss","enerBed_vd","enerVer_re","nutzungsgrad","kbob_PEne","kbob_PEer","kbob_GHG","bestand_Geraete","bestand_Beleuchtung","bestand_Lueftung","bestand_Klimakaelte","bestand_Heizwaerme","bestand_Warmwasser","GBAUP"
"1027","280058310",405.27445551577,"3","2009",1215.82336654731,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Gas","Gas","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de faible densité",0.3,0.2,0.2,1.3,NA,NA,NA,NA,0.48,NA,383.797218057259,151.024001809673,232.773216247585,0.5,6.33876075,46.46302651,515512.1566526,146337.78971288,16.2155281621595,24.9929852091723,63.837733126154,85107.6356583118,103218.998824838,147998.117647058,28400.5,0.65,1.06,0.004,0.228,14,5,0,1,93,16,"2006-2010"
"1028","828884",75.9245250209105,"3","1890",227.773575062731,"Gebäude mit 2 Wohnungen","Zentralheizung für Geb.","Heizöl","Heizöl","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone de hameau",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,66.6813011076108,26.728968435684,39.9523326719268,0.2,6.33879128,46.47045047,515526.08837191,147162.96084523,7.12707075393437,10.6529775895655,56.3473385262984,31888.3005087824,29762.3374126623,33475.76470588,2589,0.8,1.23,0.009,0.301,14,5,0,1,93,16,"vor 1919"
"1029","829662",270.858390001237,"4","1980",1083.43356000495,"Gebäude mit 3+ Whgen","Etagenheizung","Elektrizität","Elektrizität","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de moyenne densité",0.87,0.57,0.71,2.29,0.25,0.25,0.25,1,0.8,0.55,292.422230296917,99.8672132007566,192.55501709616,0.35,6.33963768,46.4618364,515577.65809021,146204.5580351,11.8523697784986,22.8526779929363,73.4497991232401,130012.027200594,118314.640058268,150128.172043011,119204.5,0.95,1.551,0.751,0.102,14,5,0,1,93,16,"1971-1980"
"1030","828960",178.532244502486,"4","1780",714.128978009946,"Gebäude mit 3+ Whgen","Etagenheizung","Elektrizität","Elektrizität","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone de hameau",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,132.774255131838,49.9934647127541,82.7807904190838,0.2,6.33964744,46.47056351,515592.01789211,147174.6034708,10.3836529875125,17.1935873355158,22.3682642403134,99978.0569213924,79160.2451412357,96082.58064516,41676.5,0.95,1.551,0.751,0.102,14,5,0,1,93,16,"vor 1919"
"1031","828928",135.461760986903,"3","1800",406.385282960708,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Gas","Gas","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone de hameau",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,90.8198031898139,40.8226185713874,49.9971846184264,0.2,6.33973131,46.47024768,515597.9661743,147139.40626862,10.5168580793846,12.8804401432818,29.7752187148375,56893.9396144991,54602.7476685024,20444,5148.5,0.65,1.06,0.004,0.228,14,5,0,1,93,16,"vor 1919"
"1032","3104507",283.215265030711,"2","1989",566.430530061423,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Gas","Gas","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone de centre historique",0.67,0.38,0.44,2.05,0.25,0.25,0.25,1,0.62,0.55,149.278312461135,51.786394050763,97.4919184103716,0.35,6.34105883,46.46090799,515685.37310003,146099.83071161,12.2654039671323,23.0905778390703,47.5231863360575,67971.6636073707,68020.5704140146,81504,25654,0.65,1.06,0.004,0.228,14,5,0,1,93,16,"1986-1990"
"1033","829677",73.6984499814347,"3","1920",221.095349944304,"Gebäude mit 2 Wohnungen","Etagenheizung","Elektrizität","Elektrizität","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de faible densité",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,86.3855232901105,32.8991636629639,53.4863596271466,0.2,6.34093186,46.46134541,515676.30143286,146148.58803142,6.73286777899482,10.9460711840145,52.7875360101641,39354.9722900861,25401.7350352517,10838.7096774194,28850,0.95,1.551,0.751,0.102,14,5,0,1,93,16,"1920-1945"
"1034","280053374",59.3719349682118,"2","2006",118.743869936424,"Gebäude mit 2 Wohnungen","Zentralheizung für Geb.","Gas","Gas","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de faible densité",0.3,0.2,0.2,1.3,NA,NA,NA,NA,0.48,NA,94.3234637149537,40.7951606710002,53.5283030439535,0.5,6.34230289,46.46384771,515785.50775241,146425.25522988,6.72671747813288,8.82628639618317,11.2990170804124,8312.07089554966,11453.1280741611,12498.82352941,5376,0.65,1.06,0.004,0.228,14,5,0,1,93,16,"2006-2010"
"1035","829045",88.8709999795458,"3","1985",266.612999938637,"Gebäude mit 2 Wohnungen","Zentralheizung für Geb.","Elektrizität","Elektrizität","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de faible densité",0.67,0.38,0.44,2.05,0.25,0.25,0.25,1,0.62,0.55,121.48623633173,47.4137444114267,74.0724919203028,0.35,6.34362781,46.46474563,515888.66833458,146523.63891711,7.54229791901945,11.7830137358323,18.6602421714616,31993.5599926365,23153.9812144723,34451.61290323,10237.5,0.95,1.551,0.751,0.102,14,5,0,1,93,16,"1981-1985"
"1036","828982",148.399550015183,"2","1972",296.799100030365,"Gebäude mit 2 Wohnungen","Zentralheizung für Geb.","Heizöl","Heizöl","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de très faible densité",0.87,0.57,0.71,2.29,0.25,0.25,0.25,1,0.8,0.55,116.11928830516,49.1020207790311,67.017267526129,0.35,6.34409186,46.46719445,515928.11509461,146795.33799007,10.4273179593421,14.2318044384777,39.6232721648412,50752.6461051925,42460.3928719941,44852.70588235,19615,0.8,1.23,0.009,0.301,14,5,0,1,93,16,"1971-1980"
